File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
         0     0% 79.34%     22.76s  2.17%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).principalFromRequest
         0     0% 79.34%     22.76s  2.17%  github.com/domainry/domainry-runtime/runtime/transport/http.(*HTTPRouter).principalWithBusinessProfile
         0     0% 79.34%     22.16s  2.11%  github.com/domainry/domainry-agent/internal/application.(*businessConversationHost).ConversationTools
         0     0% 79.34%     20.61s  1.96%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolveEffectiveRoles
         0     0% 79.34%     20.48s  1.95%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ListMenus
         0     0% 79.34%     20.48s  1.95%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityMenus
         0     0% 79.34%     20.48s  1.95%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/menu.(*Store).LoadMenus
     0.01s 0.00095% 79.34%     20.20s  1.93%  modernc.org/sqlite/lib._sqlite3Reprepare
    19.85s  1.89% 81.23%     19.85s  1.89%  racecalladdr
         0     0% 81.23%     19.33s  1.84%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkCompletionReceipts
     0.30s 0.029% 81.26%     19.14s  1.82%  modernc.org/sqlite/lib._sqlite3Malloc
         0     0% 81.26%     18.85s  1.80%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityRowContext
     0.40s 0.038% 81.30%     18.53s  1.77%  modernc.org/sqlite/lib._sqlite3DbMallocRawNN
     0.04s 0.0038% 81.30%     18.40s  1.75%  modernc.org/sqlite/lib._sqlite3GenerateColumnNames
         0     0% 81.30%     18.09s  1.72%  runtime.gcBgMarkWorker
