File: c05-schema-and-assessment-compaction-final-race.test
Type: cpu
Time: 2026-09-14 20:22:13 CST
Duration: 184.90s, Total samples = 326.16s (176.40%)
Showing nodes accounting for 287.91s, 88.27% of 326.16s total
Dropped 1867 nodes (cum <= 1.63s)
      flat  flat%   sum%        cum   cum%
         0     0% 78.43%      5.13s  1.57%  modernc.org/sqlite.(*conn).ExecContext
         0     0% 78.43%      5.13s  1.57%  modernc.org/sqlite.(*conn).exec
         0     0% 78.43%      5.08s  1.56%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).QueryIdentityRowContext
         0     0% 78.43%      5.06s  1.55%  github.com/domainry/domainry-identity/internal/adapter/identitysdk.sdkAuthentication.CurrentSession
     0.03s 0.0092% 78.44%      5.06s  1.55%  github.com/domainry/domainry-identity/internal/domain/identity/service.identityPermissionStateFingerprint
         0     0% 78.44%      5.03s  1.54%  github.com/domainry/domainry-agent-sdk/businessrpc.NewHandler.func1
         0     0% 78.44%      4.95s  1.52%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).checkModelRunSources
         0     0% 78.44%      4.92s  1.51%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).QueryRelatedBusinessRecords
         0     0% 78.44%      4.91s  1.51%  net/http.serverHandler.ServeHTTP
         0     0% 78.44%      4.88s  1.50%  net/http.(*conn).serve
         0     0% 78.44%      4.87s  1.49%  modernc.org/sqlite.(*stmt).exec
         0     0% 78.44%      4.85s  1.49%  modernc.org/sqlite.(*stmt).exec.func2
         0     0% 78.44%      4.81s  1.47%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).businessPolicyDigest
         0     0% 78.44%      4.80s  1.47%  github.com/domainry/domainry-agent/internal/application.(*conversationSourceAudit).publishedSourceContext
         0     0% 78.44%      4.80s  1.47%  modernc.org/sqlite/lib.Xsqlite3_exec
        1s  0.31% 78.75%      4.73s  1.45%  bytes.(*Buffer).Write
         0     0% 78.75%      4.72s  1.45%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).sourceReleaseContext
     0.73s  0.22% 78.97%      4.63s  1.42%  reflect.Value.Field
         0     0% 78.97%      4.47s  1.37%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityRoles
